current_datetime,current_block_number,gas_price_Gwei,safe_gas_price,ProposeGasPrice,fast_gas_price,priority_safe,priority_propose,priority_fast,BaseFee
2023-04-23 16:08:41,17110102,46.544154504,47,47,49,0.5558454960000034,0.5558454960000034,2.5558454960000034,46.444154504
2023-04-23 16:09:00,17110103,45.979316179,46,46,48,0.120683821,0.120683821,2.120683821,45.879316179
2023-04-23 16:09:10,17110104,49.525273471,50,50,53,0.574726529000003,0.574726529000003,3.574726529000003,49.425273471
2023-04-23 16:09:18,17110105,47.733887385,48,48,51,0.3661126149999987,0.3661126149999987,3.3661126149999987,47.633887385
2023-04-23 16:09:32,17110106,45.20992358,45,45,48,0.4012928880000004,0.4012928880000004,3.4012928880000004,44.598707112
2023-04-23 16:09:41,17110107,44.692707113,45,45,48,0.4012928880000004,0.4012928880000004,3.4012928880000004,44.598707112
2023-04-23 16:09:59,17110109,45.35367742,46,46,49,0.7403225810000009,0.7403225810000009,3.740322581000001,45.259677419
2023-04-23 16:10:15,17110110,43.710524455,44,44,44,0.3834755459999996,0.3834755459999996,0.3834755459999996,43.616524454
2023-04-23 16:10:33,17110111,45.833976179,45,45,48,0.8496248679999994,0.8496248679999994,3.849624868,44.150375132
2023-04-23 16:10:41,17110112,44.244375133,45,45,48,0.8496248679999994,0.8496248679999994,3.849624868,44.150375132
2023-04-23 16:11:00,17110113,43.477472816,45,45,48,0.3125750889999992,0.3125750889999992,3.312575088999999,44.687424911
2023-04-23 16:11:09,17110114,44.781424912,45,45,48,0.3125750889999992,0.3125750889999992,3.312575088999999,44.687424911
2023-04-23 16:11:24,17110115,43.417525943,44,44,46,0.6824740570000003,0.6824740570000003,2.6824740570000003,43.317525943
2023-04-23 16:11:32,17110116,48.825471786,49,50,52,0.274528214,1.274528214,3.274528214,48.725471786
2023-04-23 16:11:48,17110117,49.456730169,51,51,53,0.8429936389999995,0.8429936389999995,2.8429936389999995,50.157006361
2023-04-23 16:11:57,17110118,50.257006361,51,51,53,0.8429936389999995,0.8429936389999995,2.8429936389999995,50.157006361
2023-04-23 16:12:04,17110119,48.513942553,51,51,53,0.8429936389999995,0.8429936389999995,2.8429936389999995,50.157006361
2023-04-23 16:12:21,17110120,48.943592893,49,49,52,0.1564071069999997,0.1564071069999997,3.156407107,48.843592893
2023-04-23 16:12:30,17110121,47.708127181,48,48,50,0.3918728189999996,0.3918728189999996,2.391872819,47.608127181
